date,team1,team2,league_id,prob1,prob2,probTie,odd1,odd2,oddTie,bookmaker1,bookmaker2,bookmakerTie,outcome1,outcome2,outcomeTie,bankroll1,bankroll2,bankrollTie,profit1,profit2,profitTie,Unnamed: 22,Unnamed: 23,0,0.1,Unnamed: 26,1.1029,0.99971,0.09432977186519154,0.046837256025266914,0.0012366272217892256,Unnamed: 32,treshold =,0.15
30-01-2021,Real Madrid,Levante,1869,0.7184244452101259,0.1006566168550433,0.1809189379348308,1.39,6.9,5.3,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Nacional,Famalicao,1864,0.2911658436834674,0.4146196439995186,0.294214512317014,2.95,2.6,3.15,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Heracles,Groningen,1849,0.4244716399191418,0.2893849589132155,0.2861434011676427,2.37,2.87,3.05,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Montpellier,Lens,1843,0.3524919904009977,0.3572524712350569,0.2902555383639455,2.8,2.47,3.15,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Ried,Admira,1827,0.3304167138360258,0.4133915964657665,0.2561916896982077,1.83,3.2,3.1,,,,,,,0.0,0.09432977186519154,0,,,,,,,,,,,,,,,,
30-01-2021,Hartberg,Salzburg,1827,0.05890089390709581,0.8540166118334658,0.08708249425943841,9.25,1.12,5.5,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Altach,Sturm Graz,1827,0.1486055138655496,0.6648601749263827,0.1865343112080677,4.1,1.62,3.15,,,,,,,0.0,0.05232463766928963,0,,,,,,,,,,,,,,,,
30-01-2021,Fenerbahce,Rizespor,1882,0.6872827525967344,0.1209923171435438,0.1917249302597216,1.45,6.2,4.0,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Sampdoria,Juventus,1854,0.1290769936587416,0.7050811468201734,0.165841859521085,7.0,1.47,4.5,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Alcorcon,Malaga,1871,0.374065306537076,0.2985343560515578,0.3274003374113661,2.25,3.3,2.85,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Arsenal,Manchester Utd,2411,0.3436558823495772,0.3895338748721485,0.2668102427782743,3.02,2.57,3.57,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Valencia,Elche,1869,0.5647248419363586,0.1812376368985699,0.2540375211650714,1.72,5.5,3.5,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,RB Leipzig,Bayer Leverkusen,1845,0.4213781508831699,0.3091343206945548,0.2694875284222751,1.93,3.75,3.8,,,,,,,0.0,0.009822715389422032,0,,,,,,,,,,,,,,,,
30-01-2021,Eupen,Mouscron,1832,0.4232125786984088,0.300838044712136,0.2759493765894552,2.02,3.2,3.45,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
30-01-2021,Leuven,Beerschot VA,1832,0.4153800680606655,0.3200731917864809,0.2645467401528537,2.15,2.77,3.7,,,,,,,0.0,0.0,0,,,,,,,,,,,,,,,,
